text,label
"The nursing staff was incredibly kind and attentive during my stay",1
"Waiting room time was unacceptable and the receptionist was rude",0
"Dr Smith took the time to explain my diagnosis clearly I felt very comfortable",1
"The hospital room was dirty and my call button was ignored for hours",0
"Smooth check-in process and the surgery went perfectly",1
"Billing department is a nightmare to deal with they overcharged me",0
"Highly recommend this clinic the bedside manner of the doctors is wonderful",1
"Terrible experience I felt rushed and the doctor did not listen to my concerns",0
"The physical therapy team helped me recover so quickly amazing facility",1
"Lost my test results and delayed my treatment completely unprofessional",0
"Very clean environment and compassionate care from all the staff",1
"Long wait for the pharmacy and the medication instructions were confusing",0
"Grateful for the life saving treatment I received here",1
"The food was awful and the bed was uncomfortable",0
"Excellent pediatric wing my child felt safe and happy",1